DEVICE;BOARD;FUNCTION;DATA_TYPE;OPT_FLAG;MV_SIZE;InputGenerationTime;ProfilingTime;SimulationTime;FramaCExecutionTime;TotalExecutionTime
Leon3;Leon3;binary_search;int16_t;optO2-09;32x32;0.0712742239702493;28.087458518974017;18.422029585985;105.79948802501896;1925.5500471859705
Leon3;Leon3;binary_search;int16_t;optO2-09;32x32;0.0712742239702493;28.087458518974017;18.422029585985;105.79948802501896;1925.5500471859705
Leon3;Leon3;binary_search;int16_t;optO3-05;32x32;0.0712742239702493;27.754450400010683;19.0833236949984;105.79948802501896;2211.442304359982
Leon3;Leon3;binary_search;int16_t;optO6-Og;32x32;0.0712742239702493;25.3836975969607;15.444307449040934;105.79948802501896;2343.900971195952
Leon3;Leon3;binary_search;int16_t;optO4-Os;32x32;0.0712742239702493;26.240079501003493;16.841316486010328;105.79948802501896;2254.6181745029758
Leon3;Leon3;binary_search;int16_t;optO2-05;32x32;0.0712742239702493;26.9548607460456;19.109542939986568;105.79948802501896;1741.948166594957
Leon3;Leon3;binary_search;int16_t;optO3-01;32x32;0.0712742239702493;29.206210560980253;19.61171462002676;105.79948802501896;2023.1989370299848
Leon3;Leon3;binary_search;int16_t;optO3-04;32x32;0.0712742239702493;28.763424542034045;19.25507796299644;105.79948802501896;2164.4497914259555
Leon3;Leon3;binary_search;int16_t;optO2-00;32x32;0.0712742239702493;28.76084247295512;18.18629078398226;105.79948802501896;1505.6607733150013
Leon3;Leon3;binary_search;int16_t;optO3-00;32x32;0.0712742239702493;28.16010307200486;20.40608963201521;105.79948802501896;1974.220922974986
Leon3;Leon3;binary_search;int16_t;optO2-02;32x32;0.0712742239702493;28.67490737902699;19.647248865978327;105.79948802501896;1600.9123516299878
Leon3;Leon3;binary_search;int16_t;optO2-03;32x32;0.0712742239702493;28.3347793109715;17.319196449010633;105.79948802501896;1646.6991190519766
Leon3;Leon3;binary_search;int16_t;optO2-01;32x32;0.0712742239702493;26.98649766301969;19.74614148499677;105.79948802501896;1552.495073744969
Leon3;Leon3;binary_search;int16_t;optO2-06;32x32;0.0712742239702493;27.305321754014585;17.868693997967057;105.79948802501896;1787.2317035259912
Leon3;Leon3;binary_search;int16_t;optO1-02;32x32;0.0712742239702493;27.817556932976004;16.164545584004372;105.79948802501896;1414.3340402879985
Leon3;Leon3;binary_search;int16_t;optO1-03;32x32;0.0712742239702493;27.78557773702778;16.336950599972624;105.79948802501896;1458.5646604139474
Leon3;Leon3;binary_search;int16_t;optO3-03;32x32;0.0712742239702493;28.05734818201745;18.109107250988018;105.79948802501896;2116.272878514952
Leon3;Leon3;binary_search;int16_t;optO2-08;32x32;0.0712742239702493;27.483724905003328;18.551558930019382;105.79948802501896;1878.9001437699767
