DEVICE;BOARD;FUNCTION;DATA_TYPE;OPT_FLAG;MV_SIZE;InputGenerationTime;ProfilingTime;SimulationTime;FramaCExecutionTime;TotalExecutionTime
Leon3;Leon3;lud;double;optO2-09;32x32;0.0218431900066207;11.529591329999676;7.381105243002821;49.55306570399989;894.2421052589998
Leon3;Leon3;lud;double;optO2-09;32x32;0.0218431900066207;11.529591329999676;7.381105243002821;49.55306570399989;894.2421052589998
Leon3;Leon3;lud;double;optO3-05;32x32;0.0218431900066207;13.531957754996256;7.556321477000893;49.55306570399989;1035.1049812829951
Leon3;Leon3;lud;double;optO6-Og;32x32;0.0218431900066207;11.818464935997326;7.07396080000035;49.55306570399989;1099.7793210429954
Leon3;Leon3;lud;double;optO4-Os;32x32;0.0218431900066207;14.144072540002526;9.354174282001622;49.55306570399989;1058.6483517079978
Leon3;Leon3;lud;double;optO2-05;32x32;0.0218431900066207;12.509637101997214;7.989787585000158;49.55306570399989;816.785820901001
Leon3;Leon3;lud;double;optO3-01;32x32;0.0218431900066207;13.629311035001592;7.316798435000237;49.55306570399989;936.0075194370002
Leon3;Leon3;lud;double;optO3-04;32x32;0.0218431900066207;13.561029788994349;7.452812160998292;49.55306570399989;1013.9854013180012
Leon3;Leon3;lud;double;optO2-00;32x32;0.0218431900066207;12.37681406599586;7.520802115999686;49.55306570399989;714.1451546649987
Leon3;Leon3;lud;double;optO3-00;32x32;0.0218431900066207;13.497790426001302;7.241809799001203;49.55306570399989;915.0205798129972
Leon3;Leon3;lud;double;optO2-02;32x32;0.0218431900066207;12.643928830999355;7.661112647001573;49.55306570399989;754.8264454339951
Leon3;Leon3;lud;double;optO2-03;32x32;0.0218431900066207;13.102434763000929;7.774980390000564;49.55306570399989;775.7629780569987
Leon3;Leon3;lud;double;optO2-01;32x32;0.0218431900066207;12.619566494002356;7.667466282000532;49.55306570399989;734.4729733899949
Leon3;Leon3;lud;double;optO2-06;32x32;0.0218431900066207;12.462876461002452;7.496563293003419;49.55306570399989;836.7720592400001
Leon3;Leon3;lud;double;optO1-02;32x32;0.0218431900066207;13.70771571300429;7.824296366001363;49.55306570399989;672.983435823
Leon3;Leon3;lud;double;optO1-03;32x32;0.0218431900066207;13.148482164004236;8.05633345899696;49.55306570399989;694.2145699889952
Leon3;Leon3;lud;double;optO3-03;32x32;0.0218431900066207;13.39248398100608;22.51837083200371;49.55306570399989;992.9411482159994
Leon3;Leon3;lud;double;optO2-08;32x32;0.0218431900066207;12.187061359996733;7.594121043002815;49.55306570399989;875.3013552459961
Leon3;Leon3;lud;double;optO1-01;32x32;0.0218431900066207;14.225575148004282;8.248268650997488;49.55306570399989;651.406147062
Leon3;Leon3;lud;double;optO3-02;32x32;0.0218431900066207;13.467869851003345;7.501359716996376;49.55306570399989;957.0044018619956
Leon3;Leon3;lud;double;optO1-00;32x32;0.0218431900066207;13.61023004299932;8.002046712994343;49.55306570399989;628.8965945499949
Leon3;Leon3;lud;double;optO2-07;32x32;0.0218431900066207;11.652213199005928;7.041000565994182;49.55306570399989;855.4862475369955
Leon3;Leon3;lud;float;optO5-Ofast;32x32;0.0182754770066821;15.07598964099452;8.528068943000108;48.78823434199876;537.494141297997
Leon3;Leon3;lud;float;optO2-09;32x32;0.0182754770066821;12.68170632699912;8.063045285001863;48.78823434199876;337.6070011349948
Leon3;Leon3;lud;float;optO3-05;32x32;0.0182754770066821;14.554347320001398;7.859697451000102;48.78823434199876;489.0487769809988
Leon3;Leon3;lud;float;optO6-Og;32x32;0.0182754770066821;12.542695484000433;7.583136781999201;48.78823434199876;557.661531097001
