DEVICE;BOARD;FUNCTION;DATA_TYPE;OPT_FLAG;MV_SIZE;InputGenerationTime;ProfilingTime;SimulationTime;FramaCExecutionTime;TotalExecutionTime
Leon3;Leon3;lud;int16_t;optO2-09;32x32;0.0158236969991776;11.509343531000011;7.18371549099993;44.62999578800009;820.5553571739997
Leon3;Leon3;lud;int16_t;optO2-09;32x32;0.0158236969991776;11.509343531000011;7.18371549099993;44.62999578800009;820.5553571739997
Leon3;Leon3;lud;int16_t;optO3-05;32x32;0.0158236969991776;12.924736062999727;7.540542327999901;44.62999578800009;958.266070131
Leon3;Leon3;lud;int16_t;optO6-Og;32x32;0.0158236969991776;11.382606035000208;6.897871637999742;44.62999578800009;1019.0368583109998
Leon3;Leon3;lud;int16_t;optO4-Os;32x32;0.0158236969991776;13.471364640000502;8.723560819999875;44.62999578800009;980.530857763
Leon3;Leon3;lud;int16_t;optO2-05;32x32;0.0158236969991776;11.728913518000809;7.362386232000063;44.62999578800009;745.3069388520003
Leon3;Leon3;lud;int16_t;optO3-01;32x32;0.0158236969991776;13.057173484000486;7.313167464999424;44.62999578800009;861.3698303449996
Leon3;Leon3;lud;int16_t;optO3-04;32x32;0.0158236969991776;12.80830673299988;7.5167218599999615;44.62999578800009;937.7707746479996
Leon3;Leon3;lud;int16_t;optO2-00;32x32;0.0158236969991776;11.66261592200044;7.137265786000171;44.62999578800009;648.8814267450002
Leon3;Leon3;lud;int16_t;optO3-00;32x32;0.0158236969991776;12.9314328319997;7.429895313000088;44.62999578800009;840.9727432639997
Leon3;Leon3;lud;int16_t;optO2-02;32x32;0.0158236969991776;11.89981657899989;7.354815368000345;44.62999578800009;687.2126853469995
Leon3;Leon3;lud;int16_t;optO2-03;32x32;0.0158236969991776;12.542656805999286;7.376295934000154;44.62999578800009;707.1774261180003
Leon3;Leon3;lud;int16_t;optO2-01;32x32;0.0158236969991776;11.773110825999538;7.233772647000478;44.62999578800009;667.9178238700001
Leon3;Leon3;lud;int16_t;optO2-06;32x32;0.0158236969991776;11.663107803999992;7.333013399000265;44.62999578800009;764.3326457199996
Leon3;Leon3;lud;int16_t;optO1-02;32x32;0.0158236969991776;11.868513121999968;6.957417104999877;44.62999578800009;610.7365669710002
Leon3;Leon3;lud;int16_t;optO1-03;32x32;0.0158236969991776;12.031746323999869;7.195848271999239;44.62999578800009;630.0247029569996
Leon3;Leon3;lud;int16_t;optO3-03;32x32;0.0158236969991776;13.007264901999406;22.342313516000104;44.62999578800009;917.4129164109996
Leon3;Leon3;lud;int16_t;optO2-08;32x32;0.0158236969991776;11.807747746000132;7.262445708000087;44.62999578800009;801.818530557
Leon3;Leon3;lud;int16_t;optO1-01;32x32;0.0158236969991776;13.131127446000392;7.122387802999583;44.62999578800009;591.8868188279998
Leon3;Leon3;lud;int16_t;optO3-02;32x32;0.0158236969991776;13.1138585409999;7.49433660700015;44.62999578800009;882.0041660519996
Leon3;Leon3;lud;int16_t;optO1-00;32x32;0.0158236969991776;11.953947334000077;7.167428009000105;44.62999578800009;571.6113611380001
Leon3;Leon3;lud;int16_t;optO2-07;32x32;0.0158236969991776;11.38148559199999;6.961793659999785;44.62999578800009;782.7159270360003
Leon3;Leon3;lud;int32_t;optO5-Ofast;32x32;0.0162826810001206;13.00504049400024;8.203658456000085;44.59346464100054;1523.9865624070003
Leon3;Leon3;lud;int32_t;optO2-09;32x32;0.0162826810001206;11.32149568999921;7.017012971999975;44.59346464100054;1335.0968520700003
Leon3;Leon3;lud;int32_t;optO3-05;32x32;0.0162826810001206;13.295200406999356;8.28832657699968;44.59346464100054;1480.5000210269995
