;DEVICE;FUNCTION;DATA_TYPE;DATA_START;DATA_RANGE;RANGE_S
1;Bambu;prime;int8_t;2.0;125.0;1
2;Bambu;prime;int16_t;2.0;32764.0;1
3;Bambu;prime;int32_t;2.0;2147483638.0;1
4;Bambu;prime;int64_t;2.0;2147483638.0;1
5;Bambu;park_miller;int8_t;-128.0;255.0;1
6;Bambu;park_miller;int16_t;-32766.0;65532.0;1
7;Bambu;park_miller;int32_t;-2147483640.0;4294967280.0;1
8;Bambu;park_miller;int64_t;-9.223372036854776e+18;1.8446744073709552e+19;1
9;Bambu;bs;int8_t;2.0;30.0;1
10;Bambu;bs;int16_t;2.0;30.0;1
11;Bambu;bs;int32_t;2.0;30.0;1
12;Bambu;bs;int64_t;2.0;30.0;1
13;Bambu;select;int8_t;2.0;0.0;1
14;Bambu;select;int16_t;2.0;0.0;1
15;Bambu;select;int32_t;2.0;0.0;1
16;Bambu;select;int64_t;2.0;0.0;1
17;Bambu;fibcall;int8_t;2.0;30.0;1
18;Bambu;fibcall;int16_t;2.0;30.0;1
19;Bambu;fibcall;int32_t;2.0;30.0;1
20;Bambu;fibcall;int64_t;2.0;30.0;1
21;Bambu;lud;int8_t;2.0;30.0;1
22;Bambu;lud;int16_t;2.0;30.0;1
23;Bambu;lud;int32_t;2.0;30.0;1
24;Bambu;lud;int64_t;2.0;30.0;1
25;Bambu;sqrt;int8_t;2.0;124.0;1
26;Bambu;sqrt;int16_t;2.0;32764.0;1
27;Bambu;sqrt;int32_t;2.0;2147483638.0;1
28;Bambu;sqrt;int64_t;2.0;9.223372036854776e+18;1
29;Bambu;fft;int8_t;2.0;8.0;1
30;Bambu;fft;int8_t;-1.0;2.0;1
31;Bambu;fft;int16_t;1.0;7.0;1
32;Bambu;fft;int16_t;-1.0;2.0;1
33;Bambu;fft;int32_t;1.0;3.0;1
34;Bambu;fft;int32_t;-1.0;2.0;1
35;Bambu;fft;int64_t;1.0;3.0;1
36;Bambu;fft;int64_t;-1.0;2.0;1
