;DEVICE;FUNCTION;DATA_TYPE;DATA_START;DATA_RANGE;RANGE_SI
1;Bambu;insertionsort;int8_t;2.0;30.0;3
2;Bambu;insertionsort;int16_t;2.0;30.0;3
3;Bambu;insertionsort;int32_t;2.0;30.0;3
4;Bambu;insertionsort;int64_t;2.0;30.0;3
5;Bambu;bsort100;int8_t;2.0;30.0;3
6;Bambu;bsort100;int16_t;2.0;30.0;3
7;Bambu;bsort100;int32_t;2.0;30.0;3
8;Bambu;bsort100;int64_t;2.0;30.0;3
9;Bambu;bs;int8_t;2.0;30.0;3
10;Bambu;bs;int16_t;2.0;30.0;3
11;Bambu;bs;int32_t;2.0;30.0;3
12;Bambu;bs;int64_t;2.0;30.0;3
13;Bambu;shell_sort;int8_t;2.0;30.0;3
14;Bambu;shell_sort;int16_t;2.0;30.0;3
15;Bambu;shell_sort;int32_t;2.0;30.0;3
16;Bambu;shell_sort;int64_t;2.0;30.0;3
17;Bambu;select;int8_t;2.0;30.0;3
18;Bambu;select;int16_t;2.0;30.0;3
19;Bambu;select;int32_t;2.0;30.0;3
20;Bambu;select;int64_t;2.0;30.0;3
21;Bambu;cnt;int8_t;2.0;30.0;3
22;Bambu;cnt;int16_t;2.0;30.0;3
23;Bambu;cnt;int32_t;2.0;30.0;3
24;Bambu;cnt;int64_t;2.0;30.0;3
25;Bambu;fft;int8_t;2.0;30.0;3
26;Bambu;fft;int16_t;2.0;30.0;3
27;Bambu;fft;int32_t;2.0;30.0;3
28;Bambu;fft;int64_t;2.0;30.0;3
29;Bambu;fdct;int8_t;64.0;0.0;3
30;Bambu;fdct;int16_t;64.0;0.0;3
31;Bambu;fdct;int32_t;64.0;0.0;3
32;Bambu;fdct;int64_t;64.0;0.0;3
33;Bambu;matrix_mult;int8_t;2.0;30.0;3
34;Bambu;matrix_mult;int16_t;2.0;30.0;3
35;Bambu;matrix_mult;int32_t;2.0;30.0;3
36;Bambu;matrix_mult;int64_t;2.0;30.0;3
