;DEVICE;FUNCTION;DATA_TYPE;DATA_START;DATA_RANGE;RANGE_S
57;RiscV;binary_search;int8_t;-128.0;255.0;2
58;RiscV;binary_search;int16_t;-32766.0;65532.0;2
59;RiscV;binary_search;int32_t;-2147483640.0;4294967280.0;2
60;RiscV;binary_search;int64_t;-9.223372036854776e+18;1.8446744073709552e+19;2
61;Arm;binary_search;int8_t;-128.0;255.0;2
62;Arm;binary_search;int16_t;-32766.0;65532.0;2
63;Arm;binary_search;int32_t;-2147483640.0;4294967280.0;2
64;Arm;binary_search;int64_t;-9.223372036854776e+18;1.8446744073709552e+19;2
65;Thumb;binary_search;int8_t;-128.0;255.0;2
66;Thumb;binary_search;int16_t;-32766.0;65532.0;2
67;Thumb;binary_search;int32_t;-2147483640.0;4294967280.0;2
68;Thumb;binary_search;int64_t;-9.223372036854776e+18;1.8446744073709552e+19;2
69;Atmega328p;binary_search;int8_t;-128.0;255.0;2
70;Atmega328p;binary_search;int16_t;-32766.0;65532.0;2
71;Atmega328p;binary_search;int32_t;-2147483640.0;4294967280.0;2
72;Atmega328p;binary_search;int64_t;-9.223372036854776e+18;1.8446744073709552e+19;2
73;Leon3;binary_search;int8_t;-128.0;255.0;2
74;Leon3;binary_search;int16_t;-32766.0;65532.0;2
75;Leon3;binary_search;int32_t;-2147483640.0;4294967280.0;2
76;Leon3;binary_search;int64_t;-9.223372036854776e+18;1.8446744073709552e+19;2
77;RiscV;binary_search;int8_t;-128.0;255.0;2
78;RiscV;binary_search;int16_t;-32766.0;65532.0;2
79;RiscV;binary_search;int32_t;-2147483640.0;4294967280.0;2
80;RiscV;binary_search;int64_t;-9.223372036854776e+18;1.8446744073709552e+19;2
81;Arm;binary_search;int8_t;-128.0;255.0;2
82;Arm;binary_search;int16_t;-32766.0;65532.0;2
83;Arm;binary_search;int32_t;-2147483640.0;4294967280.0;2
84;Arm;binary_search;int64_t;-9.223372036854776e+18;1.8446744073709552e+19;2
85;Thumb;binary_search;int8_t;-128.0;255.0;2
